[0.0, 0.0, 0.0, 0.1, 0.7000000000000001, 0.1, 0.09999999999999998]
[0.0, 0.0, 0.0, 0.1, 0.7000000000000001, 0.2, 0.0]
[0.0, 0.0, 0.0, 0.1, 0.8, 0.0, 0.09999999999999998]
[0.0, 0.0, 0.0, 0.1, 0.8, 0.1, 0.0]
[0.0, 0.0, 0.0, 0.1, 0.9, 0.0, 0.0]
[0.0, 0.0, 0.0, 0.2, 0.0, 0.0, 0.8]
[0.0, 0.0, 0.0, 0.2, 0.0, 0.1, 0.7]
[0.0, 0.0, 0.0, 0.2, 0.0, 0.2, 0.6]
[0.0, 0.0, 0.0, 0.2, 0.0, 0.30000000000000004, 0.5]
[0.0, 0.0, 0.0, 0.2, 0.0, 0.4, 0.3999999999999999]
[0.0, 0.0, 0.0, 0.2, 0.0, 0.5, 0.30000000000000004]
[0.0, 0.0, 0.0, 0.2, 0.0, 0.6000000000000001, 0.19999999999999996]
[0.0, 0.0, 0.0, 0.2, 0.0, 0.7000000000000001, 0.09999999999999987]
[0.0, 0.0, 0.0, 0.2, 0.0, 0.8, 0.0]
[0.0, 0.0, 0.0, 0.2, 0.1, 0.0, 0.7]
[0.0, 0.0, 0.0, 0.2, 0.1, 0.1, 0.6]
[0.0, 0.0, 0.0, 0.2, 0.1, 0.2, 0.5]
[0.0, 0.0, 0.0, 0.2, 0.1, 0.30000000000000004, 0.3999999999999999]
[0.0, 0.0, 0.0, 0.2, 0.1, 0.4, 0.29999999999999993]
[0.0, 0.0, 0.0, 0.2, 0.1, 0.5, 0.19999999999999996]
[0.0, 0.0, 0.0, 0.2, 0.1, 0.6000000000000001, 0.09999999999999987]
[0.0, 0.0, 0.0, 0.2, 0.1, 0.7000000000000001, 0.0]
[0.0, 0.0, 0.0, 0.2, 0.2, 0.0, 0.6]
[0.0, 0.0, 0.0, 0.2, 0.2, 0.1, 0.5]
[0.0, 0.0, 0.0, 0.2, 0.2, 0.2, 0.3999999999999999]
[0.0, 0.0, 0.0, 0.2, 0.2, 0.30000000000000004, 0.29999999999999993]
[0.0, 0.0, 0.0, 0.2, 0.2, 0.4, 0.19999999999999996]
[0.0, 0.0, 0.0, 0.2, 0.2, 0.5, 0.09999999999999998]
[0.0, 0.0, 0.0, 0.2, 0.2, 0.6000000000000001, 0.0]
[0.0, 0.0, 0.0, 0.2, 0.30000000000000004, 0.0, 0.5]
[0.0, 0.0, 0.0, 0.2, 0.30000000000000004, 0.1, 0.4]
[0.0, 0.0, 0.0, 0.2, 0.30000000000000004, 0.2, 0.30000000000000004]
[0.0, 0.0, 0.0, 0.2, 0.30000000000000004, 0.30000000000000004, 0.19999999999999996]
[0.0, 0.0, 0.0, 0.2, 0.30000000000000004, 0.4, 0.09999999999999998]
[0.0, 0.0, 0.0, 0.2, 0.30000000000000004, 0.5, 0.0]
[0.0, 0.0, 0.0, 0.2, 0.4, 0.0, 0.3999999999999999]
[0.0, 0.0, 0.0, 0.2, 0.4, 0.1, 0.29999999999999993]
[0.0, 0.0, 0.0, 0.2, 0.4, 0.2, 0.19999999999999996]
[0.0, 0.0, 0.0, 0.2, 0.4, 0.30000000000000004, 0.09999999999999987]
[0.0, 0.0, 0.0, 0.2, 0.4, 0.4, 0.0]
[0.0, 0.0, 0.0, 0.2, 0.5, 0.0, 0.30000000000000004]
[0.0, 0.0, 0.0, 0.2, 0.5, 0.1, 0.20000000000000007]
[0.0, 0.0, 0.0, 0.2, 0.5, 0.2, 0.10000000000000009]
[0.0, 0.0, 0.0, 0.2, 0.5, 0.30000000000000004, 0.0]
[0.0, 0.0, 0.0, 0.2, 0.6000000000000001, 0.0, 0.19999999999999996]
[0.0, 0.0, 0.0, 0.2, 0.6000000000000001, 0.1, 0.09999999999999998]
[0.0, 0.0, 0.0, 0.2, 0.6000000000000001, 0.2, 0.0]
[0.0, 0.0, 0.0, 0.2, 0.7000000000000001, 0.0, 0.09999999999999987]
[0.0, 0.0, 0.0, 0.2, 0.8, 0.0, 0.0]
[0.0, 0.0, 0.0, 0.30000000000000004, 0.0, 0.0, 0.7]
[0.0, 0.0, 0.0, 0.30000000000000004, 0.0, 0.1, 0.6]
[0.0, 0.0, 0.0, 0.30000000000000004, 0.0, 0.2, 0.5]
[0.0, 0.0, 0.0, 0.30000000000000004, 0.0, 0.30000000000000004, 0.3999999999999999]
[0.0, 0.0, 0.0, 0.30000000000000004, 0.0, 0.4, 0.29999999999999993]
[0.0, 0.0, 0.0, 0.30000000000000004, 0.0, 0.5, 0.19999999999999996]
[0.0, 0.0, 0.0, 0.30000000000000004, 0.0, 0.6000000000000001, 0.09999999999999987]
[0.0, 0.0, 0.0, 0.30000000000000004, 0.0, 0.7000000000000001, 0.0]
[0.0, 0.0, 0.0, 0.30000000000000004, 0.1, 0.0, 0.6]
[0.0, 0.0, 0.0, 0.30000000000000004, 0.1, 0.1, 0.5]
[0.0, 0.0, 0.0, 0.30000000000000004, 0.1, 0.2, 0.3999999999999999]
[0.0, 0.0, 0.0, 0.30000000000000004, 0.1, 0.30000000000000004, 0.29999999999999993]
[0.0, 0.0, 0.0, 0.30000000000000004, 0.1, 0.4, 0.19999999999999996]
[0.0, 0.0, 0.0, 0.30000000000000004, 0.1, 0.5, 0.09999999999999998]
[0.0, 0.0, 0.0, 0.30000000000000004, 0.1, 0.6000000000000001, 0.0]
[0.0, 0.0, 0.0, 0.30000000000000004, 0.2, 0.0, 0.5]
[0.0, 0.0, 0.0, 0.30000000000000004, 0.2, 0.1, 0.4]
[0.0, 0.0, 0.0, 0.30000000000000004, 0.2, 0.2, 0.30000000000000004]
[0.0, 0.0, 0.0, 0.30000000000000004, 0.2, 0.30000000000000004, 0.19999999999999996]
[0.0, 0.0, 0.0, 0.30000000000000004, 0.2, 0.4, 0.09999999999999998]
[0.0, 0.0, 0.0, 0.30000000000000004, 0.2, 0.5, 0.0]
[0.0, 0.0, 0.0, 0.30000000000000004, 0.30000000000000004, 0.0, 0.3999999999999999]
[0.0, 0.0, 0.0, 0.30000000000000004, 0.30000000000000004, 0.1, 0.29999999999999993]
[0.0, 0.0, 0.0, 0.30000000000000004, 0.30000000000000004, 0.2, 0.19999999999999996]
[0.0, 0.0, 0.0, 0.30000000000000004, 0.30000000000000004, 0.30000000000000004, 0.09999999999999987]
[0.0, 0.0, 0.0, 0.30000000000000004, 0.30000000000000004, 0.4, 0.0]
[0.0, 0.0, 0.0, 0.30000000000000004, 0.4, 0.0, 0.29999999999999993]
[0.0, 0.0, 0.0, 0.30000000000000004, 0.4, 0.1, 0.19999999999999996]
[0.0, 0.0, 0.0, 0.30000000000000004, 0.4, 0.2, 0.09999999999999987]
[0.0, 0.0, 0.0, 0.30000000000000004, 0.4, 0.30000000000000004, 0.0]
[0.0, 0.0, 0.0, 0.30000000000000004, 0.5, 0.0, 0.19999999999999996]
[0.0, 0.0, 0.0, 0.30000000000000004, 0.5, 0.1, 0.09999999999999998]
[0.0, 0.0, 0.0, 0.30000000000000004, 0.5, 0.2, 0.0]
[0.0, 0.0, 0.0, 0.30000000000000004, 0.6000000000000001, 0.0, 0.09999999999999987]
[0.0, 0.0, 0.0, 0.30000000000000004, 0.7000000000000001, 0.0, 0.0]
[0.0, 0.0, 0.0, 0.4, 0.0, 0.0, 0.6]
[0.0, 0.0, 0.0, 0.4, 0.0, 0.1, 0.5]
[0.0, 0.0, 0.0, 0.4, 0.0, 0.2, 0.3999999999999999]
[0.0, 0.0, 0.0, 0.4, 0.0, 0.30000000000000004, 0.29999999999999993]
[0.0, 0.0, 0.0, 0.4, 0.0, 0.4, 0.19999999999999996]
[0.0, 0.0, 0.0, 0.4, 0.0, 0.5, 0.09999999999999998]
[0.0, 0.0, 0.0, 0.4, 0.0, 0.6000000000000001, 0.0]
[0.0, 0.0, 0.0, 0.4, 0.1, 0.0, 0.5]
[0.0, 0.0, 0.0, 0.4, 0.1, 0.1, 0.4]
[0.0, 0.0, 0.0, 0.4, 0.1, 0.2, 0.30000000000000004]
[0.0, 0.0, 0.0, 0.4, 0.1, 0.30000000000000004, 0.19999999999999996]
[0.0, 0.0, 0.0, 0.4, 0.1, 0.4, 0.09999999999999998]
[0.0, 0.0, 0.0, 0.4, 0.1, 0.5, 0.0]
[0.0, 0.0, 0.0, 0.4, 0.2, 0.0, 0.3999999999999999]
[0.0, 0.0, 0.0, 0.4, 0.2, 0.1, 0.29999999999999993]
[0.0, 0.0, 0.0, 0.4, 0.2, 0.2, 0.19999999999999996]
[0.0, 0.0, 0.0, 0.4, 0.2, 0.30000000000000004, 0.09999999999999987]
[0.0, 0.0, 0.0, 0.4, 0.2, 0.4, 0.0]
[0.0, 0.0, 0.0, 0.4, 0.30000000000000004, 0.0, 0.29999999999999993]
[0.0, 0.0, 0.0, 0.4, 0.30000000000000004, 0.1, 0.19999999999999996]
[0.0, 0.0, 0.0, 0.4, 0.30000000000000004, 0.2, 0.09999999999999987]
[0.0, 0.0, 0.0, 0.4, 0.30000000000000004, 0.30000000000000004, 0.0]
[0.0, 0.0, 0.0, 0.4, 0.4, 0.0, 0.19999999999999996]
[0.0, 0.0, 0.0, 0.4, 0.4, 0.1, 0.09999999999999998]
[0.0, 0.0, 0.0, 0.4, 0.4, 0.2, 0.0]
[0.0, 0.0, 0.0, 0.4, 0.5, 0.0, 0.09999999999999998]
[0.0, 0.0, 0.0, 0.4, 0.5, 0.1, 0.0]
[0.0, 0.0, 0.0, 0.4, 0.6000000000000001, 0.0, 0.0]
[0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.5]
[0.0, 0.0, 0.0, 0.5, 0.0, 0.1, 0.4]
[0.0, 0.0, 0.0, 0.5, 0.0, 0.2, 0.30000000000000004]
[0.0, 0.0, 0.0, 0.5, 0.0, 0.30000000000000004, 0.19999999999999996]
[0.0, 0.0, 0.0, 0.5, 0.0, 0.4, 0.09999999999999998]
[0.0, 0.0, 0.0, 0.5, 0.0, 0.5, 0.0]
[0.0, 0.0, 0.0, 0.5, 0.1, 0.0, 0.4]
[0.0, 0.0, 0.0, 0.5, 0.1, 0.1, 0.30000000000000004]
[0.0, 0.0, 0.0, 0.5, 0.1, 0.2, 0.19999999999999996]
[0.0, 0.0, 0.0, 0.5, 0.1, 0.30000000000000004, 0.09999999999999998]
[0.0, 0.0, 0.0, 0.5, 0.1, 0.4, 0.0]
[0.0, 0.0, 0.0, 0.5, 0.2, 0.0, 0.30000000000000004]
[0.0, 0.0, 0.0, 0.5, 0.2, 0.1, 0.20000000000000007]
[0.0, 0.0, 0.0, 0.5, 0.2, 0.2, 0.10000000000000009]
[0.0, 0.0, 0.0, 0.5, 0.2, 0.30000000000000004, 0.0]
[0.0, 0.0, 0.0, 0.5, 0.30000000000000004, 0.0, 0.19999999999999996]
[0.0, 0.0, 0.0, 0.5, 0.30000000000000004, 0.1, 0.09999999999999998]
[0.0, 0.0, 0.0, 0.5, 0.30000000000000004, 0.2, 0.0]
[0.0, 0.0, 0.0, 0.5, 0.4, 0.0, 0.09999999999999998]
[0.0, 0.0, 0.0, 0.5, 0.4, 0.1, 0.0]
[0.0, 0.0, 0.0, 0.5, 0.5, 0.0, 0.0]
[0.0, 0.0, 0.0, 0.6000000000000001, 0.0, 0.0, 0.3999999999999999]
[0.0, 0.0, 0.0, 0.6000000000000001, 0.0, 0.1, 0.29999999999999993]
[0.0, 0.0, 0.0, 0.6000000000000001, 0.0, 0.2, 0.19999999999999996]
[0.0, 0.0, 0.0, 0.6000000000000001, 0.0, 0.30000000000000004, 0.09999999999999987]
[0.0, 0.0, 0.0, 0.6000000000000001, 0.0, 0.4, 0.0]
[0.0, 0.0, 0.0, 0.6000000000000001, 0.1, 0.0, 0.29999999999999993]
[0.0, 0.0, 0.0, 0.6000000000000001, 0.1, 0.1, 0.19999999999999996]
[0.0, 0.0, 0.0, 0.6000000000000001, 0.1, 0.2, 0.09999999999999987]
[0.0, 0.0, 0.0, 0.6000000000000001, 0.1, 0.30000000000000004, 0.0]
[0.0, 0.0, 0.0, 0.6000000000000001, 0.2, 0.0, 0.19999999999999996]
[0.0, 0.0, 0.0, 0.6000000000000001, 0.2, 0.1, 0.09999999999999998]
[0.0, 0.0, 0.0, 0.6000000000000001, 0.2, 0.2, 0.0]
[0.0, 0.0, 0.0, 0.6000000000000001, 0.30000000000000004, 0.0, 0.09999999999999987]
[0.0, 0.0, 0.0, 0.6000000000000001, 0.4, 0.0, 0.0]
[0.0, 0.0, 0.0, 0.7000000000000001, 0.0, 0.0, 0.29999999999999993]
[0.0, 0.0, 0.0, 0.7000000000000001, 0.0, 0.1, 0.19999999999999996]
[0.0, 0.0, 0.0, 0.7000000000000001, 0.0, 0.2, 0.09999999999999987]
[0.0, 0.0, 0.0, 0.7000000000000001, 0.0, 0.30000000000000004, 0.0]
[0.0, 0.0, 0.0, 0.7000000000000001, 0.1, 0.0, 0.19999999999999996]
[0.0, 0.0, 0.0, 0.7000000000000001, 0.1, 0.1, 0.09999999999999998]
[0.0, 0.0, 0.0, 0.7000000000000001, 0.1, 0.2, 0.0]
[0.0, 0.0, 0.0, 0.7000000000000001, 0.2, 0.0, 0.09999999999999987]
[0.0, 0.0, 0.0, 0.7000000000000001, 0.30000000000000004, 0.0, 0.0]
[0.0, 0.0, 0.0, 0.8, 0.0, 0.0, 0.19999999999999996]
[0.0, 0.0, 0.0, 0.8, 0.0, 0.1, 0.09999999999999998]
[0.0, 0.0, 0.0, 0.8, 0.0, 0.2, 0.0]
[0.0, 0.0, 0.0, 0.8, 0.1, 0.0, 0.09999999999999998]
[0.0, 0.0, 0.0, 0.8, 0.1, 0.1, 0.0]
[0.0, 0.0, 0.0, 0.8, 0.2, 0.0, 0.0]
[0.0, 0.0, 0.0, 0.9, 0.0, 0.0, 0.09999999999999998]
[0.0, 0.0, 0.0, 0.9, 0.0, 0.1, 0.0]
[0.0, 0.0, 0.0, 0.9, 0.1, 0.0, 0.0]
[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]
[0.0, 0.0, 0.1, 0.0, 0.0, 0.0, 0.9]
[0.0, 0.0, 0.1, 0.0, 0.0, 0.1, 0.8]
[0.0, 0.0, 0.1, 0.0, 0.0, 0.2, 0.7]
[0.0, 0.0, 0.1, 0.0, 0.0, 0.30000000000000004, 0.6]
[0.0, 0.0, 0.1, 0.0, 0.0, 0.4, 0.5]
[0.0, 0.0, 0.1, 0.0, 0.0, 0.5, 0.4]
[0.0, 0.0, 0.1, 0.0, 0.0, 0.6000000000000001, 0.29999999999999993]
[0.0, 0.0, 0.1, 0.0, 0.0, 0.7000000000000001, 0.19999999999999996]
[0.0, 0.0, 0.1, 0.0, 0.0, 0.8, 0.09999999999999998]
[0.0, 0.0, 0.1, 0.0, 0.0, 0.9, 0.0]
[0.0, 0.0, 0.1, 0.0, 0.1, 0.0, 0.8]
[0.0, 0.0, 0.1, 0.0, 0.1, 0.1, 0.7]
[0.0, 0.0, 0.1, 0.0, 0.1, 0.2, 0.6]
[0.0, 0.0, 0.1, 0.0, 0.1, 0.30000000000000004, 0.5]
[0.0, 0.0, 0.1, 0.0, 0.1, 0.4, 0.3999999999999999]
[0.0, 0.0, 0.1, 0.0, 0.1, 0.5, 0.30000000000000004]
[0.0, 0.0, 0.1, 0.0, 0.1, 0.6000000000000001, 0.19999999999999996]
[0.0, 0.0, 0.1, 0.0, 0.1, 0.7000000000000001, 0.09999999999999987]
[0.0, 0.0, 0.1, 0.0, 0.1, 0.8, 0.0]
[0.0, 0.0, 0.1, 0.0, 0.2, 0.0, 0.7]
[0.0, 0.0, 0.1, 0.0, 0.2, 0.1, 0.6]
[0.0, 0.0, 0.1, 0.0, 0.2, 0.2, 0.5]
[0.0, 0.0, 0.1, 0.0, 0.2, 0.30000000000000004, 0.3999999999999999]
[0.0, 0.0, 0.1, 0.0, 0.2, 0.4, 0.29999999999999993]
[0.0, 0.0, 0.1, 0.0, 0.2, 0.5, 0.19999999999999996]
[0.0, 0.0, 0.1, 0.0, 0.2, 0.6000000000000001, 0.09999999999999987]
[0.0, 0.0, 0.1, 0.0, 0.2, 0.7000000000000001, 0.0]
[0.0, 0.0, 0.1, 0.0, 0.30000000000000004, 0.0, 0.6]
[0.0, 0.0, 0.1, 0.0, 0.30000000000000004, 0.1, 0.5]
[0.0, 0.0, 0.1, 0.0, 0.30000000000000004, 0.2, 0.3999999999999999]
[0.0, 0.0, 0.1, 0.0, 0.30000000000000004, 0.30000000000000004, 0.29999999999999993]
[0.0, 0.0, 0.1, 0.0, 0.30000000000000004, 0.4, 0.19999999999999996]
[0.0, 0.0, 0.1, 0.0, 0.30000000000000004, 0.5, 0.09999999999999998]
[0.0, 0.0, 0.1, 0.0, 0.30000000000000004, 0.6000000000000001, 0.0]
[0.0, 0.0, 0.1, 0.0, 0.4, 0.0, 0.5]
[0.0, 0.0, 0.1, 0.0, 0.4, 0.1, 0.4]
[0.0, 0.0, 0.1, 0.0, 0.4, 0.2, 0.30000000000000004]
[0.0, 0.0, 0.1, 0.0, 0.4, 0.30000000000000004, 0.19999999999999996]
[0.0, 0.0, 0.1, 0.0, 0.4, 0.4, 0.09999999999999998]
[0.0, 0.0, 0.1, 0.0, 0.4, 0.5, 0.0]
[0.0, 0.0, 0.1, 0.0, 0.5, 0.0, 0.4]
[0.0, 0.0, 0.1, 0.0, 0.5, 0.1, 0.30000000000000004]
[0.0, 0.0, 0.1, 0.0, 0.5, 0.2, 0.19999999999999996]
[0.0, 0.0, 0.1, 0.0, 0.5, 0.30000000000000004, 0.09999999999999998]
[0.0, 0.0, 0.1, 0.0, 0.5, 0.4, 0.0]
[0.0, 0.0, 0.1, 0.0, 0.6000000000000001, 0.0, 0.29999999999999993]
[0.0, 0.0, 0.1, 0.0, 0.6000000000000001, 0.1, 0.19999999999999996]
[0.0, 0.0, 0.1, 0.0, 0.6000000000000001, 0.2, 0.09999999999999987]
[0.0, 0.0, 0.1, 0.0, 0.6000000000000001, 0.30000000000000004, 0.0]
[0.0, 0.0, 0.1, 0.0, 0.7000000000000001, 0.0, 0.19999999999999996]
[0.0, 0.0, 0.1, 0.0, 0.7000000000000001, 0.1, 0.09999999999999998]
[0.0, 0.0, 0.1, 0.0, 0.7000000000000001, 0.2, 0.0]
[0.0, 0.0, 0.1, 0.0, 0.8, 0.0, 0.09999999999999998]
